102816 9444
105014 20279
109724 3690
118218 657237
119875 5702198
122758 444795
122819 452548
123127 31703
125066 5360373
125973 36314
127716 451668
13875 2123
138783 77082
1390 2094
141540 36462
14229 6239
169780 71384
180973 2733525
18509 123608
19893 3385
218321 439693
226080 5284616
241240 498142
24559 163659
246131 41744
25154 4842
256439 42890
256942 41867
26271 2907
266046
26980 5746
27640 5790
279836 4212
296961 2141
3053 2019
3088 2708
32065 3657
34462 6194
362856 5394
369100 57469
38721 4211
409962 2578
45388 5353562
45923 4114
49842 241902
606869 354624
608210 25136944
609699 60699
613327 60750
628503 148124
63878 6252
6396 5453
66847 5426
673596 104842
67574 249332
681239 387447
686673 3011155
698037 446556
701852 5311
702294 54611422
712807 400633
713563 60198
71423 11683
715055 123631
718781 176871
719276 104741
719344 2187
719345 3902
719627 2662
721517 68740
732517 3062316
733504 54608520
737754 11525740
740 126941
743414 5291
745750 208908
747599 644241
747971 216239
747972 216326
747973 6445540
747974 5035
749226 132971
750 2478
750690 5329102
752 2723601
753082
754143 5352062
754230 148121
755 667490
755986 24776445
756645 54613769
757441 6450551
760766 3081361
761431 42611257
761432 9854073
762 4033
763371
77213 4915
79037 3950
82151 30323
85998 23615975
8806 460612
92859
9706 5799
